"product_name","price","total_quantity_sold","total_revenue"
"kaos putih",20,"68","1360"
"kaos polo putih",30,"65","1950"
"celana denim",60,"61","3660"
"sweater",34,"58","1972"
"rok",40,"52","2080"
"sepatu merah",42,"48","2016"
"hoodie biru tua",38,"42","1596"
"hoodie abu-abu",42,"38","1596"
"sepatu lari",75,"35","2625"
"kaos polo hitam",37,"35","1295"
"skinny jean putih",32,"33","1056"
"sepatu putih",40,"30","1200"
"kaos hitam",23,"28","644"
"jaket kulit",320,"27","8640"
"celana pendek",22,"26","572"
"mantel merah",270,"25","6750"
"sepatu biru",30,"24","720"
"skinny jean hitam",38,"24","912"
"sandal",18,"21","378"
"topi",15,"20","300"
"skinny jean hitam",40,"20","800"
"kaos biru tua",20,"20","400"
"kaos kaki",10,"18","180"
"celana denim",65,"18","1170"
"syal",18,"17","306"
"celana pendek",32,"17","544"
"blus",80,"16","1280"
"hoodie hitam",38,"15","570"
"kaos abu-abu",23,"9","207"
