"product_name","price","cost_per_unit","total_quantity_sold","total_revenue","total_profit"
"jaket kulit",320,98,"27","8640","5994.00"
"mantel merah",270,75,"25","6750","4875.00"
"celana denim",60,26,"61","3660","2074.00"
"sweater",34,2,"58","1972","1856.00"
"rok",40,8,"52","2080","1664.00"
"sepatu lari",75,28,"35","2625","1645.00"
"sepatu merah",42,16,"48","2016","1248.00"
"kaos polo putih",30,12,"65","1950","1170.00"
"hoodie biru tua",38,11,"42","1596","1134.00"
"hoodie abu-abu",42,13,"38","1596","1102.00"
"blus",80,20,"16","1280","960.00"
"kaos putih",20,8,"68","1360","816.00"
"kaos polo hitam",37,16,"35","1295","735.00"
"sepatu putih",40,16,"30","1200","720.00"
"celana denim",65,29,"18","1170","648.00"
"skinny jean putih",32,13,"33","1056","627.00"
"skinny jean hitam",38,14,"24","912","576.00"
"skinny jean hitam",40,16,"20","800","480.00"
"kaos hitam",23,8,"28","644","420.00"
"hoodie hitam",38,12,"15","570","390.00"
"sepatu biru",30,14,"24","720","384.00"
"celana pendek",32,11,"17","544","357.00"
"celana pendek",22,9,"26","572","338.00"
"sandal",18,5,"21","378","273.00"
"topi",15,3,"20","300","240.00"
"syal",18,5,"17","306","221.00"
"kaos biru tua",20,9,"20","400","220.00"
"kaos kaki",10,2,"18","180","144.00"
"kaos abu-abu",23,10,"9","207","117.00"
